additions,additions_avg,additions_max,avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn_avg,code_churn_count,code_churn_max,commit,commits_count,committed_at,contributors_count,deletions,deletions_avg,deletions_max,failure_prone,filepath,highest_contributor_experience,hunks_median,lines_blank,lines_code,lines_comment,minor_contributors_count,num_authorized_key,num_block_error_handling,num_blocks,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_prompts,num_regex,num_roles,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_vars,text_entropy
,,,0.0,45.0,0.0,1.0,,,,7ae8ed0a3095148f04211d5b8abbdb00ecbda024,,2017-02-19 16:43:37+01:00,,,,,0.0,meta/main.yml,,,0.0,44.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,74.0,11.0,0.0,0.0,4.67
,,,0.0,1.0,0.0,1.0,,,,7ae8ed0a3095148f04211d5b8abbdb00ecbda024,,2017-02-19 16:43:37+01:00,,,,,0.0,tasks/main.yml,,,16.0,19.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,82.0,0.0,0.0,0.0,3.82
,,,0.0,2.0,0.0,1.0,,,,7ae8ed0a3095148f04211d5b8abbdb00ecbda024,,2017-02-19 16:43:37+01:00,,,,,0.0,tasks/update-code/download_unarchive.yml,,,2.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,1.0,0.0,0.0,4.07
,,,0.0,2.0,0.0,1.0,,,,7ae8ed0a3095148f04211d5b8abbdb00ecbda024,,2017-02-19 16:43:37+01:00,,,,,0.0,tasks/update-code/s3_unarchive.yml,,,2.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,1.0,0.0,0.0,4.07
,,,0.0,9.0,0.0,1.0,,,,7ae8ed0a3095148f04211d5b8abbdb00ecbda024,,2017-02-19 16:43:37+01:00,,,,,0.0,tasks/update-code/s3.yml,,,2.0,26.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,117.0,3.0,0.0,0.0,4.88
,,,0.0,4.0,0.0,1.0,,,,7ae8ed0a3095148f04211d5b8abbdb00ecbda024,,2017-02-19 16:43:37+01:00,,,,,0.0,tasks/update-code/download.yml,,,1.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,35.0,2.0,0.0,0.0,4.24
,,,0.0,4.0,0.0,1.0,,,,7ae8ed0a3095148f04211d5b8abbdb00ecbda024,,2017-02-19 16:43:37+01:00,,,,,1.0,tasks/rsync-deploy.yml,,,6.0,25.0,4.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,2.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,131.0,5.0,0.0,1.0,5.39
,,,0.0,4.0,0.0,1.0,,,,7ae8ed0a3095148f04211d5b8abbdb00ecbda024,,2017-02-19 16:43:37+01:00,,,,,0.0,tasks/symlink.yml,,,3.0,13.0,2.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,57.0,2.0,0.0,1.0,5.01
,,,0.0,4.0,0.0,1.0,,,,7ae8ed0a3095148f04211d5b8abbdb00ecbda024,,2017-02-19 16:43:37+01:00,,,,,1.0,tasks/update-code/unarchive.yml,,,1.0,9.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,32.0,2.0,0.0,0.0,4.05
,,,0.0,4.0,0.0,1.0,,,,7ae8ed0a3095148f04211d5b8abbdb00ecbda024,,2017-02-19 16:43:37+01:00,,,,,0.0,tasks/setup.yml,,,4.0,22.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,2.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,87.0,5.0,0.0,0.0,4.5
,,,0.0,4.0,0.0,1.0,,,,7ae8ed0a3095148f04211d5b8abbdb00ecbda024,,2017-02-19 16:43:37+01:00,,,,,0.0,tasks/update-code.yml,,,3.0,14.0,1.0,,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,62.0,3.0,0.0,1.0,5.29
,,,0.0,13.0,1.0,3.0,,,,ff3d20e32d68658f6f432dc11544250127a73aea,,2017-02-22 10:57:12+01:00,,,,,0.0,tasks/anon-stats.yml,,,0.0,12.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,1.0,1.0,0.0,4.88
,,,0.0,4.0,1.0,3.0,,,,ff3d20e32d68658f6f432dc11544250127a73aea,,2017-02-22 10:57:12+01:00,,,,,0.0,tasks/update-code/copy.yml,,,1.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,35.0,2.0,0.0,0.0,4.4
,,,0.0,7.0,1.0,3.0,,,,ff3d20e32d68658f6f432dc11544250127a73aea,,2017-02-22 10:57:12+01:00,,,,,1.0,tasks/symlink-shared.yml,,,3.0,27.0,6.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,3.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,105.0,4.0,0.0,0.0,5.19
,,,0.0,7.0,1.0,3.0,,,,ff3d20e32d68658f6f432dc11544250127a73aea,,2017-02-22 10:57:12+01:00,,,,,0.0,tasks/update-code/svn.yml,,,3.0,27.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,107.0,4.0,0.0,2.0,5.02
,,,0.0,2.0,1.0,3.0,,,,ff3d20e32d68658f6f432dc11544250127a73aea,,2017-02-22 10:57:12+01:00,,,,,0.0,tasks/update-code/copy_unarchive.yml,,,2.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,1.0,0.0,0.0,4.07
,,,,,1.0,3.0,,,,ff3d20e32d68658f6f432dc11544250127a73aea,,2017-02-22 10:57:12+01:00,,,,,0.0,tasks/empty.yml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.0,5.0,1.0,3.0,,,,ff3d20e32d68658f6f432dc11544250127a73aea,,2017-02-22 10:57:12+01:00,,,,,0.0,tasks/update-code/rsync.yml,,,2.0,15.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,74.0,3.0,0.0,1.0,5.17
,,,0.0,4.0,1.0,3.0,,,,ff3d20e32d68658f6f432dc11544250127a73aea,,2017-02-22 10:57:12+01:00,,,,,0.0,tasks/cleanup.yml,,,0.0,3.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,1.0,0.0,0.0,4.57
,,,0.0,6.0,1.0,3.0,,,,ff3d20e32d68658f6f432dc11544250127a73aea,,2017-02-22 10:57:12+01:00,,,,,1.0,tasks/update-code/git.yml,,,7.0,52.0,2.0,,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,1.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,237.0,8.0,0.0,2.0,6.14
,,,0.0,45.0,1.0,3.0,,,,ff3d20e32d68658f6f432dc11544250127a73aea,,2017-02-22 10:57:12+01:00,,,,,0.0,meta/main.yml,,,0.0,44.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,74.0,11.0,0.0,0.0,4.67
,,,0.0,1.0,1.0,3.0,,,,ff3d20e32d68658f6f432dc11544250127a73aea,,2017-02-22 10:57:12+01:00,,,,,0.0,tasks/main.yml,,,16.0,19.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,82.0,0.0,0.0,0.0,3.82
,,,0.0,2.0,1.0,3.0,,,,ff3d20e32d68658f6f432dc11544250127a73aea,,2017-02-22 10:57:12+01:00,,,,,0.0,tasks/update-code/download_unarchive.yml,,,2.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,1.0,0.0,0.0,4.07
,,,0.0,2.0,1.0,3.0,,,,ff3d20e32d68658f6f432dc11544250127a73aea,,2017-02-22 10:57:12+01:00,,,,,0.0,tasks/update-code/s3_unarchive.yml,,,2.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,1.0,0.0,0.0,4.07
,,,0.0,9.0,1.0,3.0,,,,ff3d20e32d68658f6f432dc11544250127a73aea,,2017-02-22 10:57:12+01:00,,,,,0.0,tasks/update-code/s3.yml,,,2.0,26.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,117.0,3.0,0.0,0.0,4.88
,,,0.0,4.0,1.0,3.0,,,,ff3d20e32d68658f6f432dc11544250127a73aea,,2017-02-22 10:57:12+01:00,,,,,0.0,tasks/update-code/download.yml,,,1.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,35.0,2.0,0.0,0.0,4.24
,,,0.0,4.0,1.0,3.0,,,,ff3d20e32d68658f6f432dc11544250127a73aea,,2017-02-22 10:57:12+01:00,,,,,1.0,tasks/rsync-deploy.yml,,,6.0,25.0,4.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,2.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,131.0,5.0,0.0,1.0,5.39
,,,0.0,4.0,1.0,3.0,,,,ff3d20e32d68658f6f432dc11544250127a73aea,,2017-02-22 10:57:12+01:00,,,,,0.0,tasks/symlink.yml,,,3.0,13.0,2.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,57.0,2.0,0.0,1.0,5.01
,,,0.0,4.0,1.0,3.0,,,,ff3d20e32d68658f6f432dc11544250127a73aea,,2017-02-22 10:57:12+01:00,,,,,1.0,tasks/update-code/unarchive.yml,,,1.0,9.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,32.0,2.0,0.0,0.0,4.05
4.0,2.0,2.0,0.0,5.0,1.0,3.0,1.0,2.0,2.0,ff3d20e32d68658f6f432dc11544250127a73aea,2.0,2017-02-22 10:57:12+01:00,1.0,2.0,1.0,2.0,0.0,tasks/setup.yml,100.0,2.0,4.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,2.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,91.0,5.0,0.0,0.0,4.63
,,,0.0,4.0,1.0,3.0,,,,ff3d20e32d68658f6f432dc11544250127a73aea,,2017-02-22 10:57:12+01:00,,,,,0.0,tasks/update-code.yml,,,3.0,14.0,1.0,,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,62.0,3.0,0.0,1.0,5.29
,,,0.0,13.0,1.0,2.0,,,,a8d5428163050fcf4332b176858af8a154303f81,,2017-03-13 10:02:06+01:00,,,,,0.0,tasks/anon-stats.yml,,,0.0,12.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,1.0,1.0,0.0,4.88
,,,0.0,4.0,1.0,2.0,,,,a8d5428163050fcf4332b176858af8a154303f81,,2017-03-13 10:02:06+01:00,,,,,0.0,tasks/update-code/copy.yml,,,1.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,35.0,2.0,0.0,0.0,4.4
,,,0.0,7.0,1.0,2.0,,,,a8d5428163050fcf4332b176858af8a154303f81,,2017-03-13 10:02:06+01:00,,,,,1.0,tasks/symlink-shared.yml,,,3.0,27.0,6.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,3.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,105.0,4.0,0.0,0.0,5.19
,,,0.0,7.0,1.0,2.0,,,,a8d5428163050fcf4332b176858af8a154303f81,,2017-03-13 10:02:06+01:00,,,,,0.0,tasks/update-code/svn.yml,,,3.0,27.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,107.0,4.0,0.0,2.0,5.02
,,,0.0,2.0,1.0,2.0,,,,a8d5428163050fcf4332b176858af8a154303f81,,2017-03-13 10:02:06+01:00,,,,,0.0,tasks/update-code/copy_unarchive.yml,,,2.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,1.0,0.0,0.0,4.07
,,,,,1.0,2.0,,,,a8d5428163050fcf4332b176858af8a154303f81,,2017-03-13 10:02:06+01:00,,,,,0.0,tasks/empty.yml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.0,5.0,1.0,2.0,,,,a8d5428163050fcf4332b176858af8a154303f81,,2017-03-13 10:02:06+01:00,,,,,0.0,tasks/update-code/rsync.yml,,,2.0,15.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,74.0,3.0,0.0,1.0,5.17
,,,0.0,4.0,1.0,2.0,,,,a8d5428163050fcf4332b176858af8a154303f81,,2017-03-13 10:02:06+01:00,,,,,0.0,tasks/cleanup.yml,,,0.0,3.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,1.0,0.0,0.0,4.57
2.0,2.0,2.0,0.0,7.0,1.0,2.0,2.0,2.0,2.0,a8d5428163050fcf4332b176858af8a154303f81,1.0,2017-03-13 10:02:06+01:00,1.0,0.0,0.0,0.0,1.0,tasks/update-code/git.yml,100.0,2.0,7.0,54.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,1.0,21.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,249.0,8.0,0.0,2.0,6.14
,,,0.0,45.0,1.0,2.0,,,,a8d5428163050fcf4332b176858af8a154303f81,,2017-03-13 10:02:06+01:00,,,,,0.0,meta/main.yml,,,0.0,44.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,74.0,11.0,0.0,0.0,4.67
,,,0.0,1.0,1.0,2.0,,,,a8d5428163050fcf4332b176858af8a154303f81,,2017-03-13 10:02:06+01:00,,,,,0.0,tasks/main.yml,,,16.0,19.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,82.0,0.0,0.0,0.0,3.82
,,,0.0,2.0,1.0,2.0,,,,a8d5428163050fcf4332b176858af8a154303f81,,2017-03-13 10:02:06+01:00,,,,,0.0,tasks/update-code/download_unarchive.yml,,,2.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,1.0,0.0,0.0,4.07
,,,0.0,2.0,1.0,2.0,,,,a8d5428163050fcf4332b176858af8a154303f81,,2017-03-13 10:02:06+01:00,,,,,0.0,tasks/update-code/s3_unarchive.yml,,,2.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,1.0,0.0,0.0,4.07
,,,0.0,9.0,1.0,2.0,,,,a8d5428163050fcf4332b176858af8a154303f81,,2017-03-13 10:02:06+01:00,,,,,0.0,tasks/update-code/s3.yml,,,2.0,26.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,117.0,3.0,0.0,0.0,4.88
,,,0.0,4.0,1.0,2.0,,,,a8d5428163050fcf4332b176858af8a154303f81,,2017-03-13 10:02:06+01:00,,,,,0.0,tasks/update-code/download.yml,,,1.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,35.0,2.0,0.0,0.0,4.24
,,,0.0,4.0,1.0,2.0,,,,a8d5428163050fcf4332b176858af8a154303f81,,2017-03-13 10:02:06+01:00,,,,,1.0,tasks/rsync-deploy.yml,,,6.0,25.0,4.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,2.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,131.0,5.0,0.0,1.0,5.39
,,,0.0,4.0,1.0,2.0,,,,a8d5428163050fcf4332b176858af8a154303f81,,2017-03-13 10:02:06+01:00,,,,,0.0,tasks/symlink.yml,,,3.0,13.0,2.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,57.0,2.0,0.0,1.0,5.01
,,,0.0,4.0,1.0,2.0,,,,a8d5428163050fcf4332b176858af8a154303f81,,2017-03-13 10:02:06+01:00,,,,,1.0,tasks/update-code/unarchive.yml,,,1.0,9.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,32.0,2.0,0.0,0.0,4.05
,,,0.0,5.0,1.0,2.0,,,,a8d5428163050fcf4332b176858af8a154303f81,,2017-03-13 10:02:06+01:00,,,,,0.0,tasks/setup.yml,,,4.0,24.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,2.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,91.0,5.0,0.0,0.0,4.63
,,,0.0,4.0,1.0,2.0,,,,a8d5428163050fcf4332b176858af8a154303f81,,2017-03-13 10:02:06+01:00,,,,,0.0,tasks/update-code.yml,,,3.0,14.0,1.0,,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,62.0,3.0,0.0,1.0,5.29
